GeneID,logFC,logCPM,F,PValue,adj.p,comparision,expression
HORVU.MOREX.r2.5HG0409720,1.0202144564659736,6.904996102258295,22.902600393217146,4.631813267316435e-4,0.007093677930236975,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0409750,-1.6231471993842945,1.826692592441242,19.347687505195847,8.986951203971732e-4,0.01043515911811109,GABA v.s. Control,Down
HORVU.MOREX.r2.5HG0409840,-1.1149960916932697,5.406379099842163,71.64978295941143,2.3289101119695234e-6,4.690302365144761e-4,GABA v.s. Control,Down
HORVU.MOREX.r2.5HG0410020,1.7217589115566276,0.5659543199305715,12.212821433961935,0.004520760416460656,0.029801002503528393,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0410120,1.5719290205916108,6.630377347893293,10.02496800223531,0.008265449029375089,0.044336207009816615,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0410360,-1.077675084040952,2.772926809314633,23.031230046611668,4.5281944525048663e-4,0.007027445309697665,GABA v.s. Control,Down
HORVU.MOREX.r2.5HG0410450,2.234565044975257,3.845185077068087,15.460975325499618,0.0020476196097296267,0.017723489519620245,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0410610,1.0490146880595952,2.7909320673091136,10.41818304227558,0.007379845898483246,0.04104720009894719,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0410760,2.0157910017560723,8.18025225807719,37.91071107870969,5.223121605328962e-5,0.002040657527035007,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0410780,-2.3490788517807166,2.669495679389448,93.95393490500688,5.662475983696195e-7,3.132521912141513e-4,GABA v.s. Control,Down
HORVU.MOREX.r2.5HG0410810,-1.1620306730865952,2.719354602149496,23.939689633297757,3.8689413129670066e-4,0.006389779605073523,GABA v.s. Control,Down
HORVU.MOREX.r2.5HG0411280,1.7255484800008356,7.699321009527062,20.515489799202058,7.167805626342496e-4,0.009173082281365992,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0411360,1.2201341433035855,6.69199720324023,28.116441156697604,1.973019673558538e-4,0.0042596301219321574,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0411410,1.3151832862932524,3.9858854232586447,18.276187342825803,0.001114895516673144,0.012018571202148139,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0411560,6.023242609591737,0.9218528851274467,29.349888427120252,1.6399437333556327e-4,0.0037897358041587706,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0412330,-1.4653205627985266,0.6727779880844422,10.90427099223977,0.006434986925379838,0.03739676827946151,GABA v.s. Control,Down
HORVU.MOREX.r2.5HG0412380,2.666345333343754,7.641223827201069,97.19615019289385,4.729571163155756e-7,3.0428373873074495e-4,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0412430,3.4887273492805044,-0.723090809216349,12.62190301274003,0.00406604874740286,0.027850582565444117,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0412700,-2.365866403816564,1.8375441312440433,34.06245555929375,8.499905561044547e-5,0.0026336596845056535,GABA v.s. Control,Down
HORVU.MOREX.r2.5HG0412710,-1.4418460473926797,1.2702626737757328,12.610539777097076,0.004077931200233188,0.027908400551060763,GABA v.s. Control,Down
HORVU.MOREX.r2.5HG0412720,-1.5179497945275293,6.395145452066191,54.47575440510087,9.25561338568259e-6,8.515870850200936e-4,GABA v.s. Control,Down
